locus_tag	ftype	length_bp	gene	EC_number	COG	product
BBOKJAKM_00001	CDS	1059				hypothetical protein
BBOKJAKM_00002	CDS	855	tsf		COG0264	Elongation factor Ts
BBOKJAKM_00003	CDS	420	frc	2.8.3.16		Formyl-CoA:oxalate CoA-transferase
BBOKJAKM_00004	CDS	801				hypothetical protein
BBOKJAKM_00005	CDS	1371	lptD			LPS-assembly protein LptD
BBOKJAKM_00006	CDS	768	yueD	1.1.1.320		Benzil reductase ((S)-benzoin forming)
BBOKJAKM_00007	CDS	957	panE_1	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
BBOKJAKM_00008	CDS	324				hypothetical protein
BBOKJAKM_00009	CDS	309				hypothetical protein
BBOKJAKM_00010	CDS	498				hypothetical protein
BBOKJAKM_00011	CDS	495				hypothetical protein
BBOKJAKM_00012	CDS	291				hypothetical protein
BBOKJAKM_00013	CDS	330				hypothetical protein
BBOKJAKM_00014	CDS	1053	flgI			Flagellar P-ring protein
BBOKJAKM_00015	CDS	564				hypothetical protein
BBOKJAKM_00016	CDS	261				hypothetical protein
BBOKJAKM_00017	CDS	498				hypothetical protein
BBOKJAKM_00018	CDS	3522				hypothetical protein
BBOKJAKM_00019	CDS	1404		1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
BBOKJAKM_00020	CDS	1146	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
BBOKJAKM_00021	CDS	1107	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
BBOKJAKM_00022	CDS	1092	spuE		COG0687	Spermidine-binding periplasmic protein SpuE
BBOKJAKM_00023	CDS	1353	spuC	2.6.1.113	COG0161	Putrescine--pyruvate aminotransferase
BBOKJAKM_00024	CDS	1341	puuA_1	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
BBOKJAKM_00025	CDS	1110	pepN	3.4.11.2	COG0308	Aminopeptidase N
BBOKJAKM_00026	CDS	1470	Hnr	1.3.7.1		6-hydroxynicotinate reductase
BBOKJAKM_00027	CDS	951	ndhM_1	1.17.1.5		Nicotinate dehydrogenase medium molybdopterin subunit
BBOKJAKM_00028	CDS	1920	ppdK_1	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
BBOKJAKM_00029	CDS	702	suhB	3.1.3.11	COG0483	Fructose-1,6-bisphosphatase/inositol-1-monophosphatase
BBOKJAKM_00030	CDS	393				hypothetical protein
BBOKJAKM_00031	CDS	636				hypothetical protein
BBOKJAKM_00032	CDS	300				hypothetical protein
BBOKJAKM_00033	CDS	603				hypothetical protein
BBOKJAKM_00034	CDS	2109				hypothetical protein
BBOKJAKM_00035	CDS	570	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
BBOKJAKM_00036	CDS	1041	purM	6.3.3.1		Phosphoribosylformylglycinamidine cyclo-ligase
BBOKJAKM_00037	CDS	1350	purF_1	2.4.2.14	COG0034	Amidophosphoribosyltransferase
BBOKJAKM_00038	CDS	1029	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
BBOKJAKM_00039	CDS	987	ycjP_1		COG0395	Inner membrane ABC transporter permease protein YcjP
BBOKJAKM_00040	CDS	1323				hypothetical protein
BBOKJAKM_00041	CDS	294				hypothetical protein
BBOKJAKM_00042	CDS	405				hypothetical protein
BBOKJAKM_00043	CDS	675	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
BBOKJAKM_00044	CDS	966				Iron-sulfur cluster carrier protein
BBOKJAKM_00045	CDS	861				hypothetical protein
BBOKJAKM_00046	CDS	450	xcpT		COG2165	Type II secretion system protein G
BBOKJAKM_00047	CDS	573				hypothetical protein
