locus_tag	ftype	length_bp	gene	EC_number	COG	product
HJOAMCJI_00001	CDS	246	prfB			Peptide chain release factor 2
HJOAMCJI_00002	CDS	2817				hypothetical protein
HJOAMCJI_00003	CDS	1494	lysS	6.1.1.6		Lysine--tRNA ligase
HJOAMCJI_00004	CDS	1206	lolE_1		COG4591	Lipoprotein-releasing system transmembrane protein LolE
HJOAMCJI_00005	CDS	1197	lolE_2		COG4591	Lipoprotein-releasing system transmembrane protein LolE
HJOAMCJI_00006	CDS	678	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
HJOAMCJI_00007	CDS	2490	clpC			ATP-dependent Clp protease ATP-binding subunit ClpC
HJOAMCJI_00008	CDS	240				hypothetical protein
HJOAMCJI_00009	CDS	1905	dnaK			Chaperone protein DnaK
HJOAMCJI_00010	CDS	3789				hypothetical protein
HJOAMCJI_00011	CDS	1800	bamA_1		COG4775	Outer membrane protein assembly factor BamA
HJOAMCJI_00012	CDS	486	cpoB_1			Cell division coordinator CpoB
HJOAMCJI_00013	CDS	996	ravA	3.6.3.-		ATPase RavA
HJOAMCJI_00014	CDS	876			COG1721	putative protein
HJOAMCJI_00015	CDS	744				hypothetical protein
HJOAMCJI_00016	CDS	564	efp		COG0231	Elongation factor P
HJOAMCJI_00017	CDS	456	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
HJOAMCJI_00018	CDS	1350	accC	6.3.4.14	COG0439	Biotin carboxylase
HJOAMCJI_00019	CDS	378	gcvH			Glycine cleavage system H protein
HJOAMCJI_00020	CDS	750		2.5.1.41	COG1646	Geranylgeranylglyceryl phosphate synthase
HJOAMCJI_00021	CDS	579	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
HJOAMCJI_00022	CDS	891	xerD			Tyrosine recombinase XerD
HJOAMCJI_00023	CDS	618				hypothetical protein
HJOAMCJI_00024	CDS	1701				hypothetical protein
HJOAMCJI_00025	CDS	1725	mutL		COG0323	DNA mismatch repair protein MutL
HJOAMCJI_00026	CDS	444				hypothetical protein
