locus_tag	ftype	length_bp	gene	EC_number	COG	product
FNDHEEML_00001	tRNA	93				tRNA-Ile(gat)
FNDHEEML_00002	CDS	2925				hypothetical protein
FNDHEEML_00003	CDS	591	resA_1			Thiol-disulfide oxidoreductase ResA
FNDHEEML_00004	CDS	1833	dsbD	1.8.1.8		Thiol:disulfide interchange protein DsbD
FNDHEEML_00005	CDS	915				hypothetical protein
FNDHEEML_00006	CDS	630				hypothetical protein
FNDHEEML_00007	CDS	570	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
FNDHEEML_00008	CDS	642	pyrF	4.1.1.23		Orotidine 5'-phosphate decarboxylase
FNDHEEML_00009	CDS	939				hypothetical protein
FNDHEEML_00010	CDS	1329	miaB	2.8.4.3		tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
FNDHEEML_00011	CDS	318	lapA			Lipopolysaccharide assembly protein A
FNDHEEML_00012	CDS	624				hypothetical protein
FNDHEEML_00013	CDS	411				hypothetical protein
FNDHEEML_00014	CDS	396	tolR			Tol-Pal system protein TolR
FNDHEEML_00015	CDS	624	tolQ_1			Tol-Pal system protein TolQ
FNDHEEML_00016	CDS	345	spoIIAA			Anti-sigma F factor antagonist
FNDHEEML_00017	CDS	408	rsbW	2.7.11.1		Serine-protein kinase RsbW
FNDHEEML_00018	CDS	3462				hypothetical protein
FNDHEEML_00019	CDS	390				hypothetical protein
FNDHEEML_00020	CDS	306				hypothetical protein
FNDHEEML_00021	CDS	2172				hypothetical protein
FNDHEEML_00022	CDS	3678				hypothetical protein
FNDHEEML_00023	CDS	1038	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
FNDHEEML_00024	CDS	687				hypothetical protein
FNDHEEML_00025	CDS	549	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
FNDHEEML_00026	CDS	171				hypothetical protein
FNDHEEML_00027	CDS	1083				hypothetical protein
FNDHEEML_00028	CDS	1095	thrC	4.2.3.1	COG0498	Threonine synthase
FNDHEEML_00029	CDS	1269				hypothetical protein
FNDHEEML_00030	CDS	657	fbiB	6.3.2.34		Bifunctional F420 biosynthesis protein FbiB
FNDHEEML_00031	CDS	960				hypothetical protein
FNDHEEML_00032	CDS	1332	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
FNDHEEML_00033	CDS	663				hypothetical protein
FNDHEEML_00034	CDS	435				hypothetical protein
FNDHEEML_00035	CDS	1506				hypothetical protein
FNDHEEML_00036	CDS	2583	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
FNDHEEML_00037	CDS	426				hypothetical protein
