locus_tag	ftype	length_bp	gene	EC_number	COG	product
LAPJIGIB_00001	CDS	1278				hypothetical protein
LAPJIGIB_00002	CDS	1605	emrB			Multidrug export protein EmrB
LAPJIGIB_00003	CDS	429				hypothetical protein
LAPJIGIB_00004	CDS	912				hypothetical protein
LAPJIGIB_00005	CDS	345				hypothetical protein
LAPJIGIB_00006	CDS	354				hypothetical protein
LAPJIGIB_00007	CDS	636	hisH	4.3.2.10		Imidazole glycerol phosphate synthase subunit HisH
LAPJIGIB_00008	CDS	597	hisB	4.2.1.19	COG0131	Imidazoleglycerol-phosphate dehydratase
LAPJIGIB_00009	CDS	1086	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
LAPJIGIB_00010	CDS	1320	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
LAPJIGIB_00011	CDS	1191	moeZ		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
LAPJIGIB_00012	CDS	462				hypothetical protein
LAPJIGIB_00013	CDS	2475				hypothetical protein
LAPJIGIB_00014	CDS	885				hypothetical protein
LAPJIGIB_00015	CDS	1047	mreB		COG1077	Cell shape-determining protein MreB
LAPJIGIB_00016	CDS	408	ndkA	2.7.4.6	COG0105	Nucleoside diphosphate kinase
LAPJIGIB_00017	CDS	414				hypothetical protein
LAPJIGIB_00018	CDS	1290	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
LAPJIGIB_00019	CDS	858	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
LAPJIGIB_00020	CDS	945	parB		COG1475	putative chromosome-partitioning protein ParB
LAPJIGIB_00021	CDS	1134	nifH	1.18.6.1		Nitrogenase iron protein
LAPJIGIB_00022	CDS	612	rsmG	2.1.1.-	COG0357	Ribosomal RNA small subunit methyltransferase G
LAPJIGIB_00023	CDS	606				hypothetical protein
LAPJIGIB_00024	CDS	981	yidC		COG0706	Membrane protein insertase YidC
LAPJIGIB_00025	CDS	435	yidD			Putative membrane protein insertion efficiency factor
LAPJIGIB_00026	CDS	285	rnpA	3.1.26.5		Ribonuclease P protein component
LAPJIGIB_00027	CDS	447				hypothetical protein
LAPJIGIB_00028	CDS	306				hypothetical protein
LAPJIGIB_00029	CDS	306				hypothetical protein
LAPJIGIB_00030	CDS	951	uvrB		COG0556	UvrABC system protein B
LAPJIGIB_00031	CDS	435				hypothetical protein
LAPJIGIB_00032	CDS	789				hypothetical protein
LAPJIGIB_00033	CDS	351				hypothetical protein
LAPJIGIB_00034	CDS	3456				hypothetical protein
LAPJIGIB_00035	CDS	2907	uvrA		COG0178	UvrABC system protein A
LAPJIGIB_00036	CDS	465	petC	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
LAPJIGIB_00037	CDS	570				hypothetical protein
LAPJIGIB_00038	CDS	315				hypothetical protein
LAPJIGIB_00039	CDS	279				hypothetical protein
LAPJIGIB_00040	CDS	510	sepF			Cell division protein SepF
LAPJIGIB_00041	CDS	729			COG0325	Pyridoxal phosphate homeostasis protein
LAPJIGIB_00042	CDS	762		1.10.3.-	COG1496	Polyphenol oxidase
LAPJIGIB_00043	CDS	1254	ftsZ			Cell division protein FtsZ
LAPJIGIB_00044	CDS	303	yngG	4.1.3.4	COG0119	Hydroxymethylglutaryl-CoA lyase YngG
LAPJIGIB_00045	CDS	1125				hypothetical protein
LAPJIGIB_00046	CDS	783	msbA_1	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
LAPJIGIB_00047	CDS	633	ccrA2	1.3.1.86	COG0604	Crotonyl-CoA reductase
LAPJIGIB_00048	CDS	612				hypothetical protein
LAPJIGIB_00049	CDS	1317	crtNb	1.14.99.44		4,4'-diapolycopene oxygenase
LAPJIGIB_00050	CDS	228				hypothetical protein
LAPJIGIB_00051	CDS	288				hypothetical protein
LAPJIGIB_00052	CDS	537				hypothetical protein
LAPJIGIB_00053	CDS	201				hypothetical protein
LAPJIGIB_00054	CDS	480				hypothetical protein
LAPJIGIB_00055	CDS	1500	nylA_1	3.5.2.12		6-aminohexanoate-cyclic-dimer hydrolase
LAPJIGIB_00056	CDS	249				hypothetical protein
LAPJIGIB_00057	CDS	564				hypothetical protein
LAPJIGIB_00058	CDS	471	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
LAPJIGIB_00059	CDS	414				hypothetical protein
LAPJIGIB_00060	CDS	753	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
LAPJIGIB_00061	CDS	1368		3.4.24.-	COG0612	putative zinc protease
LAPJIGIB_00062	CDS	2205	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
LAPJIGIB_00063	CDS	270	rpsO			30S ribosomal protein S15
LAPJIGIB_00064	CDS	1212				hypothetical protein
LAPJIGIB_00065	CDS	969	ribF			Bifunctional riboflavin kinase/FMN adenylyltransferase
LAPJIGIB_00066	CDS	933	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
LAPJIGIB_00067	CDS	447	rbfA		COG0858	Ribosome-binding factor A
LAPJIGIB_00068	CDS	297				hypothetical protein
LAPJIGIB_00069	CDS	1842	infB		COG0532	Translation initiation factor IF-2
LAPJIGIB_00070	CDS	858				hypothetical protein
LAPJIGIB_00071	CDS	1005	nusA		COG0195	Transcription termination/antitermination protein NusA
LAPJIGIB_00072	CDS	459	rimP		COG0779	Ribosome maturation factor RimP
LAPJIGIB_00073	CDS	456				hypothetical protein
LAPJIGIB_00074	CDS	573				hypothetical protein
LAPJIGIB_00075	CDS	372				hypothetical protein
LAPJIGIB_00076	CDS	1758	proS	6.1.1.15	COG0442	Proline--tRNA ligase
LAPJIGIB_00077	CDS	864				hypothetical protein
LAPJIGIB_00078	CDS	1152	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
LAPJIGIB_00079	CDS	1311	rip1	3.4.24.-		Zinc metalloprotease Rip1
LAPJIGIB_00080	CDS	1170	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
LAPJIGIB_00081	CDS	486				hypothetical protein
LAPJIGIB_00082	CDS	834	azoB	1.7.-.-		NAD(P)H azoreductase
LAPJIGIB_00083	CDS	198				hypothetical protein
LAPJIGIB_00084	CDS	1044				hypothetical protein
LAPJIGIB_00085	CDS	2148	yfeW	3.4.16.4		Putative D-alanyl-D-alanine carboxypeptidase
LAPJIGIB_00086	CDS	1731				hypothetical protein
LAPJIGIB_00087	CDS	792				IS21 family transposase ISLxx3
LAPJIGIB_00088	CDS	780		3.1.1.23		Thermostable monoacylglycerol lipase
LAPJIGIB_00089	CDS	342				hypothetical protein
LAPJIGIB_00090	CDS	1470	atpD	7.1.2.2		ATP synthase subunit beta
LAPJIGIB_00091	CDS	960	atpG			ATP synthase gamma chain
LAPJIGIB_00092	CDS	1638	atpA	7.1.2.2		ATP synthase subunit alpha
LAPJIGIB_00093	CDS	810	atpH_1			ATP synthase subunit delta
LAPJIGIB_00094	CDS	561	atpF		COG0711	ATP synthase subunit b
LAPJIGIB_00095	CDS	234	atpH_2			ATP synthase subunit c
LAPJIGIB_00096	CDS	819	atpB		COG0356	ATP synthase subunit a
LAPJIGIB_00097	CDS	492				hypothetical protein
LAPJIGIB_00098	CDS	465				hypothetical protein
LAPJIGIB_00099	CDS	1206		1.1.1.38		NAD-dependent malic enzyme
LAPJIGIB_00100	CDS	966	adhT	1.1.1.1		Alcohol dehydrogenase
LAPJIGIB_00101	CDS	171				hypothetical protein
LAPJIGIB_00102	CDS	231				hypothetical protein
LAPJIGIB_00103	CDS	270				hypothetical protein
LAPJIGIB_00104	CDS	438				hypothetical protein
