locus_tag	ftype	length_bp	gene	EC_number	COG	product
MGDGBLCM_00001	CDS	660	frdA	1.3.5.4		Fumarate reductase flavoprotein subunit
MGDGBLCM_00002	CDS	954	sdhB	1.3.5.-	COG0479	8-methylmenaquinol:fumarate reductase iron-sulfur subunit
MGDGBLCM_00003	CDS	885	sdhE	1.3.5.-	COG2048	8-methylmenaquinol:fumarate reductase membrane anchor subunit
MGDGBLCM_00004	CDS	570				hypothetical protein
MGDGBLCM_00005	CDS	1044				hypothetical protein
MGDGBLCM_00006	CDS	1008	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
MGDGBLCM_00007	CDS	822		2.7.2.4	COG0527	Aspartate kinase
MGDGBLCM_00008	CDS	387	fabH	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
MGDGBLCM_00009	CDS	912	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
MGDGBLCM_00010	CDS	732	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
MGDGBLCM_00011	CDS	1275	fabF	2.3.1.179		3-oxoacyl-[acyl-carrier-protein] synthase 2
MGDGBLCM_00012	CDS	615				hypothetical protein
MGDGBLCM_00013	CDS	1014	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
MGDGBLCM_00014	CDS	297				hypothetical protein
MGDGBLCM_00015	CDS	225				hypothetical protein
MGDGBLCM_00016	CDS	252				hypothetical protein
MGDGBLCM_00017	CDS	303				hypothetical protein
MGDGBLCM_00018	CDS	192				hypothetical protein
MGDGBLCM_00019	CDS	795				hypothetical protein
MGDGBLCM_00020	CDS	483				hypothetical protein
MGDGBLCM_00021	CDS	699				hypothetical protein
MGDGBLCM_00022	CDS	393	yokF	3.1.-.-	COG1525	SPbeta prophage-derived endonuclease YokF
MGDGBLCM_00023	CDS	273				hypothetical protein
MGDGBLCM_00024	CDS	600	nudL	3.6.1.-		putative Nudix hydrolase NudL
MGDGBLCM_00025	CDS	681				hypothetical protein
MGDGBLCM_00026	CDS	582				hypothetical protein
MGDGBLCM_00027	CDS	402				hypothetical protein
MGDGBLCM_00028	CDS	1992	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
MGDGBLCM_00029	CDS	216	pbpA		COG0768	Penicillin-binding protein A
MGDGBLCM_00030	CDS	336	nei1	3.2.2.-	COG0266	Endonuclease 8 1
MGDGBLCM_00031	CDS	555				hypothetical protein
MGDGBLCM_00032	CDS	573	xerC			Tyrosine recombinase XerC
MGDGBLCM_00033	CDS	1131				hypothetical protein
MGDGBLCM_00034	CDS	957	pgi	5.3.1.9		Glucose-6-phosphate isomerase
MGDGBLCM_00035	CDS	537				hypothetical protein
MGDGBLCM_00036	CDS	582				hypothetical protein
MGDGBLCM_00037	CDS	852	acuC			Acetoin utilization protein AcuC
MGDGBLCM_00038	CDS	1053				hypothetical protein
MGDGBLCM_00039	CDS	1443		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
MGDGBLCM_00040	CDS	192	cmk	2.7.4.25		Cytidylate kinase
MGDGBLCM_00041	CDS	702				hypothetical protein
MGDGBLCM_00042	CDS	1419	der		COG1160	GTPase Der
MGDGBLCM_00043	CDS	552				hypothetical protein
MGDGBLCM_00044	CDS	2148	glnA	6.3.1.2		Glutamine synthetase
MGDGBLCM_00045	CDS	729	petC	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
MGDGBLCM_00046	CDS	834	petB			Cytochrome b6
MGDGBLCM_00047	CDS	738	petD			Cytochrome b6-f complex subunit 4
MGDGBLCM_00048	CDS	1212				hypothetical protein
MGDGBLCM_00049	CDS	237				hypothetical protein
MGDGBLCM_00050	CDS	312				hypothetical protein
MGDGBLCM_00051	CDS	330				hypothetical protein
MGDGBLCM_00052	CDS	1245	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
MGDGBLCM_00053	CDS	162				hypothetical protein
MGDGBLCM_00054	CDS	330				hypothetical protein
MGDGBLCM_00055	CDS	474				hypothetical protein
MGDGBLCM_00056	CDS	357				hypothetical protein
MGDGBLCM_00057	CDS	435				hypothetical protein
MGDGBLCM_00058	CDS	492	ogt	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
MGDGBLCM_00059	CDS	435				hypothetical protein
MGDGBLCM_00060	CDS	840	mqnD	4.1.-.-	COG2107	1,4-dihydroxy-6-naphtoate synthase
MGDGBLCM_00061	CDS	432				hypothetical protein
MGDGBLCM_00062	CDS	804				hypothetical protein
MGDGBLCM_00063	CDS	288	prfA		COG0216	Peptide chain release factor 1
MGDGBLCM_00064	CDS	639	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
MGDGBLCM_00065	CDS	1293	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
MGDGBLCM_00066	CDS	1110				hypothetical protein
MGDGBLCM_00067	CDS	555	ywnH	2.3.1.183	COG1247	Putative phosphinothricin acetyltransferase YwnH
MGDGBLCM_00068	CDS	1026	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
MGDGBLCM_00069	CDS	1416	dnaA		COG0593	Chromosomal replication initiator protein DnaA
MGDGBLCM_00070	CDS	684				hypothetical protein
MGDGBLCM_00071	CDS	375	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
MGDGBLCM_00072	CDS	108				hypothetical protein
MGDGBLCM_00073	CDS	1251	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
MGDGBLCM_00074	CDS	252				hypothetical protein
MGDGBLCM_00075	CDS	468	rplM		COG0102	50S ribosomal protein L13
MGDGBLCM_00076	CDS	399	rpsI		COG0103	30S ribosomal protein S9
MGDGBLCM_00077	CDS	300				hypothetical protein
MGDGBLCM_00078	CDS	267	rpmA		COG0211	50S ribosomal protein L27
MGDGBLCM_00079	CDS	297	rplU		COG0261	50S ribosomal protein L21
