locus_tag	ftype	length_bp	gene	EC_number	COG	product
AIPKPAAK_00001	CDS	597	grpE		COG0576	Protein GrpE
AIPKPAAK_00002	CDS	414				hypothetical protein
AIPKPAAK_00003	CDS	390				hypothetical protein
AIPKPAAK_00004	tRNA	76				tRNA-Thr(cgt)
AIPKPAAK_00005	CDS	2580				hypothetical protein
AIPKPAAK_00006	CDS	1419				hypothetical protein
AIPKPAAK_00007	CDS	645				hypothetical protein
AIPKPAAK_00008	CDS	612				hypothetical protein
AIPKPAAK_00009	CDS	708				hypothetical protein
AIPKPAAK_00010	CDS	873				hypothetical protein
AIPKPAAK_00011	CDS	1890				hypothetical protein
AIPKPAAK_00012	CDS	1431	styD	1.2.1.39		Phenylacetaldehyde dehydrogenase
AIPKPAAK_00013	CDS	687				hypothetical protein
AIPKPAAK_00014	CDS	1521	lcfB	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
AIPKPAAK_00015	CDS	1026	aphB	3.5.1.-	COG0123	Acetylpolyamine amidohydrolase 2
AIPKPAAK_00016	CDS	1254		1.14.13.239		Carnitine monooxygenase oxygenase subunit
AIPKPAAK_00017	CDS	1146	yjiB	1.14.-.-	COG2124	Putative cytochrome P450 YjiB
AIPKPAAK_00018	CDS	255				hypothetical protein
AIPKPAAK_00019	CDS	627	gstB	2.5.1.18	COG0625	Glutathione S-transferase GST-6.0
AIPKPAAK_00020	CDS	1014				hypothetical protein
AIPKPAAK_00021	CDS	606				hypothetical protein
AIPKPAAK_00022	CDS	996		3.5.1.77		N-carbamoyl-D-amino acid hydrolase
AIPKPAAK_00023	CDS	477				hypothetical protein
AIPKPAAK_00024	CDS	1170	ftsZ		COG0206	Cell division protein FtsZ
AIPKPAAK_00025	CDS	1239	ftsA_1		COG0849	Cell division protein FtsA
AIPKPAAK_00026	CDS	204				hypothetical protein
AIPKPAAK_00027	CDS	1383	glnG		COG2204	DNA-binding transcriptional regulator NtrC
AIPKPAAK_00028	CDS	735	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
AIPKPAAK_00029	CDS	267				hypothetical protein
AIPKPAAK_00030	CDS	1476	bicA_1		COG0659	Bicarbonate transporter BicA
AIPKPAAK_00031	CDS	588	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
AIPKPAAK_00032	CDS	1371				hypothetical protein
AIPKPAAK_00033	CDS	489	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
AIPKPAAK_00034	CDS	294				hypothetical protein
AIPKPAAK_00035	CDS	228	rpsR		COG0238	30S ribosomal protein S18
AIPKPAAK_00036	CDS	882				hypothetical protein
AIPKPAAK_00037	CDS	450	rplI		COG0359	50S ribosomal protein L9
AIPKPAAK_00038	CDS	180				hypothetical protein
AIPKPAAK_00039	CDS	525				hypothetical protein
AIPKPAAK_00040	CDS	933	ddl	6.3.2.4		D-alanine--D-alanine ligase
AIPKPAAK_00041	CDS	1248	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
AIPKPAAK_00042	CDS	744	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
AIPKPAAK_00043	CDS	654	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
AIPKPAAK_00044	CDS	603	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
AIPKPAAK_00045	CDS	630				hypothetical protein
AIPKPAAK_00046	CDS	1428	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
AIPKPAAK_00047	CDS	684				hypothetical protein
AIPKPAAK_00048	CDS	579				hypothetical protein
AIPKPAAK_00049	CDS	276				hypothetical protein
AIPKPAAK_00050	CDS	387	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
AIPKPAAK_00051	CDS	360	sdhD		COG2142	Succinate dehydrogenase hydrophobic membrane anchor subunit
AIPKPAAK_00052	CDS	1713	sdhA	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
AIPKPAAK_00053	CDS	708	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
AIPKPAAK_00054	CDS	909	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
AIPKPAAK_00055	CDS	375	hisI	3.5.4.19	COG0139	Phosphoribosyl-AMP cyclohydrolase
AIPKPAAK_00056	CDS	354	hisE	3.6.1.31	COG0140	Phosphoribosyl-ATP pyrophosphatase
AIPKPAAK_00057	CDS	219	tatA		COG1826	Sec-independent protein translocase protein TatA
AIPKPAAK_00058	CDS	393	tatB			Sec-independent protein translocase protein TatB
AIPKPAAK_00059	CDS	756	tatC		COG0805	Sec-independent protein translocase protein TatC
AIPKPAAK_00060	CDS	528	pal			Peptidoglycan-associated lipoprotein
AIPKPAAK_00061	CDS	885	cpoB			Cell division coordinator CpoB
AIPKPAAK_00062	CDS	480				hypothetical protein
AIPKPAAK_00063	tRNA	76				tRNA-Lys(ttt)
AIPKPAAK_00064	CDS	360				hypothetical protein
AIPKPAAK_00065	CDS	489		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
AIPKPAAK_00066	CDS	2184	qgdA	1.1.9.1		Quinohemoprotein alcohol dehydrogenase ADH-IIG
