locus_tag	ftype	length_bp	gene	EC_number	COG	product
JENIMKAA_00001	CDS	1731	frdA	1.3.5.4		Fumarate reductase flavoprotein subunit
JENIMKAA_00002	CDS	765				hypothetical protein
JENIMKAA_00003	CDS	264				hypothetical protein
JENIMKAA_00004	CDS	234				hypothetical protein
JENIMKAA_00005	CDS	642		3.2.1.-		Protein-ADP-ribose hydrolase
JENIMKAA_00006	CDS	753				hypothetical protein
JENIMKAA_00007	CDS	603				hypothetical protein
JENIMKAA_00008	CDS	270				hypothetical protein
JENIMKAA_00009	CDS	1515				hypothetical protein
JENIMKAA_00010	CDS	807				hypothetical protein
JENIMKAA_00011	CDS	918				hypothetical protein
JENIMKAA_00012	CDS	3021	rhlB_1	3.6.4.13		ATP-dependent RNA helicase RhlB
JENIMKAA_00013	CDS	636				hypothetical protein
JENIMKAA_00014	CDS	438	tadA	3.5.4.33		tRNA-specific adenosine deaminase
JENIMKAA_00015	CDS	324				hypothetical protein
JENIMKAA_00016	CDS	1206				hypothetical protein
JENIMKAA_00017	CDS	1128				hypothetical protein
JENIMKAA_00018	CDS	1281	serS	6.1.1.11		Serine--tRNA ligase
JENIMKAA_00019	CDS	549				hypothetical protein
JENIMKAA_00020	CDS	501				hypothetical protein
JENIMKAA_00021	CDS	1542	accA1		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
JENIMKAA_00022	CDS	873		4.2.1.150	COG1024	Crotonyl-CoA hydratase
JENIMKAA_00023	CDS	1611	pccB_1	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
JENIMKAA_00024	CDS	1278				hypothetical protein
JENIMKAA_00025	CDS	597				hypothetical protein
JENIMKAA_00026	CDS	729				hypothetical protein
JENIMKAA_00027	CDS	882				hypothetical protein
JENIMKAA_00028	CDS	561				hypothetical protein
JENIMKAA_00029	CDS	1680	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
JENIMKAA_00030	CDS	399	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
JENIMKAA_00031	CDS	2355	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
JENIMKAA_00032	CDS	1455				hypothetical protein
JENIMKAA_00033	CDS	2580	dadD	3.5.4.31		5'-deoxyadenosine deaminase
JENIMKAA_00034	CDS	1467	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
JENIMKAA_00035	CDS	702		2.4.2.-	COG2071	Putative glutamine amidotransferase
JENIMKAA_00036	CDS	687		2.4.2.-	COG2071	Putative glutamine amidotransferase
JENIMKAA_00037	CDS	360				hypothetical protein
JENIMKAA_00038	CDS	2040		1.18.-.-	COG0247	EtfAB:quinone oxidoreductase
JENIMKAA_00039	CDS	999	galK	2.7.1.6		Galactokinase
JENIMKAA_00040	CDS	714				hypothetical protein
JENIMKAA_00041	CDS	3576				hypothetical protein
JENIMKAA_00042	CDS	483				hypothetical protein
