locus_tag	ftype	length_bp	gene	EC_number	COG	product
COFJJGOO_00001	CDS	405	rnj2	3.1.-.-		Ribonuclease J 2
COFJJGOO_00002	CDS	2550				hypothetical protein
COFJJGOO_00003	CDS	960	yrbG		COG0530	Inner membrane protein YrbG
COFJJGOO_00004	CDS	1233	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
COFJJGOO_00005	CDS	561	pgsA_1	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
COFJJGOO_00006	CDS	1248	cinA		COG1058	Putative competence-damage inducible protein
COFJJGOO_00007	CDS	756	mhpC	3.7.1.14		2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase
COFJJGOO_00008	CDS	402	msrB	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
COFJJGOO_00009	CDS	1038	recA		COG0468	Protein RecA
COFJJGOO_00010	CDS	1419	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
COFJJGOO_00011	CDS	921	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
COFJJGOO_00012	CDS	807	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
COFJJGOO_00013	CDS	1779	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
COFJJGOO_00014	CDS	834		4.1.-.-	COG2301	Citrate lyase subunit beta-like protein
COFJJGOO_00015	CDS	825	rhtA		COG5006	Threonine/homoserine exporter RhtA
COFJJGOO_00016	CDS	1140	dapD	2.3.1.117		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
COFJJGOO_00017	CDS	987	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
COFJJGOO_00018	CDS	288				hypothetical protein
COFJJGOO_00019	CDS	774	hisN	3.1.3.15	COG0483	Histidinol-phosphatase
COFJJGOO_00020	CDS	1023				hypothetical protein
COFJJGOO_00021	CDS	1233	smtB_1	2.8.3.22	COG1804	Succinyl-CoA--L-malate CoA-transferase beta subunit
COFJJGOO_00022	CDS	216				hypothetical protein
COFJJGOO_00023	CDS	249				hypothetical protein
COFJJGOO_00024	CDS	951	fgd_1	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
COFJJGOO_00025	CDS	1410		3.5.2.-		D-hydantoinase
COFJJGOO_00026	CDS	771	mftE	3.5.-.-	COG1402	Putative mycofactocin system creatinine amidohydrolase family protein MftE
COFJJGOO_00027	CDS	1299		3.5.4.32	COG0402	8-oxoguanine deaminase
COFJJGOO_00028	CDS	366				hypothetical protein
COFJJGOO_00029	CDS	1446	nylA	3.5.2.12		6-aminohexanoate-cyclic-dimer hydrolase
COFJJGOO_00030	CDS	264				hypothetical protein
COFJJGOO_00031	CDS	1365				hypothetical protein
COFJJGOO_00032	CDS	978				hypothetical protein
COFJJGOO_00033	CDS	1653				putative protein
COFJJGOO_00034	CDS	228				hypothetical protein
COFJJGOO_00035	CDS	1671	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
COFJJGOO_00036	CDS	585				hypothetical protein
COFJJGOO_00037	CDS	792	paaF_1	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
COFJJGOO_00038	CDS	1539				hypothetical protein
COFJJGOO_00039	CDS	765	yafV	3.5.1.3		Omega-amidase YafV
COFJJGOO_00040	CDS	1182	dapC	2.6.1.17	COG0436	putative N-succinyldiaminopimelate aminotransferase DapC
COFJJGOO_00041	CDS	1233		1.-.-.-		NADH oxidase
COFJJGOO_00042	CDS	777	paaF_2	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
COFJJGOO_00043	CDS	1158	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase
COFJJGOO_00044	CDS	426				hypothetical protein
COFJJGOO_00045	CDS	978	gmd	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
COFJJGOO_00046	CDS	909	rmd	1.1.1.281		GDP-6-deoxy-D-mannose reductase
COFJJGOO_00047	CDS	3129				hypothetical protein
COFJJGOO_00048	CDS	447				hypothetical protein
COFJJGOO_00049	CDS	1533	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
COFJJGOO_00050	CDS	1644	ndhD1	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
COFJJGOO_00051	CDS	2313	ndhB_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
COFJJGOO_00052	CDS	300	nuoK_1	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
COFJJGOO_00053	CDS	498	nuoJ_1	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
COFJJGOO_00054	CDS	537	ndhI_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I
COFJJGOO_00055	CDS	1038	ndhA	7.1.1.-	COG1005	NAD(P)H-quinone oxidoreductase subunit 1
COFJJGOO_00056	CDS	753	nqo4	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit 4
COFJJGOO_00057	CDS	180				hypothetical protein
COFJJGOO_00058	CDS	420				hypothetical protein
COFJJGOO_00059	CDS	531	ctaE	1.9.3.1		Cytochrome c oxidase subunit 3
COFJJGOO_00060	CDS	2031	ctaD	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
COFJJGOO_00061	CDS	561				hypothetical protein
COFJJGOO_00062	CDS	1401	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
COFJJGOO_00063	CDS	1098	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
COFJJGOO_00064	CDS	453	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
COFJJGOO_00065	CDS	543	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
COFJJGOO_00066	CDS	345	rplS		COG0335	50S ribosomal protein L19
COFJJGOO_00067	CDS	111				hypothetical protein
COFJJGOO_00068	CDS	783	crt_1	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
COFJJGOO_00069	CDS	369				hypothetical protein
COFJJGOO_00070	CDS	1632	frdA	1.3.5.4		Fumarate reductase flavoprotein subunit
COFJJGOO_00071	CDS	777	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
COFJJGOO_00072	CDS	1563				hypothetical protein
COFJJGOO_00073	CDS	312				hypothetical protein
COFJJGOO_00074	CDS	516				hypothetical protein
COFJJGOO_00075	CDS	1188	lldD	1.1.-.-	COG1304	Putative L-lactate dehydrogenase
COFJJGOO_00076	CDS	177				hypothetical protein
COFJJGOO_00077	CDS	1923				hypothetical protein
COFJJGOO_00078	CDS	435				hypothetical protein
COFJJGOO_00079	CDS	1011				hypothetical protein
COFJJGOO_00080	CDS	261	rpsT		COG0268	30S ribosomal protein S20
COFJJGOO_00081	CDS	1785	lepA	3.6.5.-	COG0481	Elongation factor 4
COFJJGOO_00082	CDS	1101	dnaJ_1		COG0484	Chaperone protein DnaJ
COFJJGOO_00083	CDS	216				hypothetical protein
COFJJGOO_00084	CDS	1332	dprE1	1.1.98.3	COG0277	Decaprenylphosphoryl-beta-D-ribose oxidase
COFJJGOO_00085	CDS	960		2.4.2.45	COG0382	Decaprenyl-phosphate phosphoribosyltransferase
COFJJGOO_00086	CDS	663	aspS	6.1.1.12		Aspartate--tRNA ligase
COFJJGOO_00087	CDS	234	sepF			Cell division protein SepF
COFJJGOO_00088	CDS	267				hypothetical protein
COFJJGOO_00089	CDS	375			COG1702	PhoH-like protein
COFJJGOO_00090	CDS	453	ybeY	3.1.-.-		Endoribonuclease YbeY
COFJJGOO_00091	CDS	1257				hypothetical protein
COFJJGOO_00092	CDS	876	era		COG1159	GTPase Era
COFJJGOO_00093	CDS	807		2.5.1.88	COG0020	Trans,polycis-polyprenyl diphosphate synthase ((2Z,6E)-farnesyl diphosphate specific)
COFJJGOO_00094	CDS	717	recO		COG1381	DNA repair protein RecO
COFJJGOO_00095	CDS	1323	glyQS	6.1.1.14		Glycine--tRNA ligase
COFJJGOO_00096	CDS	348				hypothetical protein
COFJJGOO_00097	CDS	2571	gltB	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
COFJJGOO_00098	CDS	759	ndhJ	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit J, chloroplastic
COFJJGOO_00099	CDS	501	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
COFJJGOO_00100	CDS	366	ndhC_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
COFJJGOO_00101	CDS	1518	ndhB_3	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
COFJJGOO_00102	CDS	1683	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
COFJJGOO_00103	CDS	1965	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
COFJJGOO_00104	CDS	318	nuoK_2	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
COFJJGOO_00105	CDS	744	nuoJ_2	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
COFJJGOO_00106	CDS	639	ndhI_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
COFJJGOO_00107	CDS	1224	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
COFJJGOO_00108	CDS	2508	nuoG	7.1.1.-	COG1034	NADH-quinone oxidoreductase subunit G
COFJJGOO_00109	CDS	1323	nuoF	7.1.1.-	COG1894	NADH-quinone oxidoreductase subunit F
COFJJGOO_00110	CDS	612	nuoE	7.1.1.-	COG1905	NADH-quinone oxidoreductase subunit E
COFJJGOO_00111	CDS	1299	nuoD	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit D
COFJJGOO_00112	CDS	510	nuoC	7.1.1.-	COG0852	NADH-quinone oxidoreductase subunit C
COFJJGOO_00113	CDS	477	ndhK	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit K, chloroplastic
COFJJGOO_00114	CDS	1107	yhdW			Putative amino-acid ABC transporter-binding protein YhdW
COFJJGOO_00115	CDS	537				hypothetical protein
COFJJGOO_00116	CDS	861				hypothetical protein
COFJJGOO_00117	CDS	1029	mreB		COG1077	Cell shape-determining protein MreB
COFJJGOO_00118	CDS	1758	gcvP	1.4.4.2	COG0403	putative glycine dehydrogenase (decarboxylating)
COFJJGOO_00119	CDS	801	paaF_3	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
COFJJGOO_00120	CDS	1020	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
COFJJGOO_00121	CDS	384				hypothetical protein
COFJJGOO_00122	CDS	1134		1.14.-.-	COG2124	Cytochrome P450 107B1
COFJJGOO_00123	CDS	1482				hypothetical protein
COFJJGOO_00124	CDS	753	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
COFJJGOO_00125	CDS	831	dpgD	4.2.1.17		Enoyl-CoA-hydratase
COFJJGOO_00126	CDS	1662	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
COFJJGOO_00127	CDS	1236	smtB_2	2.8.3.22	COG1804	Succinyl-CoA--L-malate CoA-transferase beta subunit
COFJJGOO_00128	CDS	543				hypothetical protein
COFJJGOO_00129	CDS	816	smc		COG1196	Chromosome partition protein Smc
COFJJGOO_00130	CDS	1176				hypothetical protein
COFJJGOO_00131	CDS	192				hypothetical protein
COFJJGOO_00132	CDS	948	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
COFJJGOO_00133	CDS	270	rpsO			30S ribosomal protein S15
COFJJGOO_00134	CDS	423				hypothetical protein
COFJJGOO_00135	CDS	300				hypothetical protein
COFJJGOO_00136	CDS	750	sufC_1		COG0396	Vegetative protein 296
COFJJGOO_00137	CDS	312		4.2.1.96		Putative pterin-4-alpha-carbinolamine dehydratase
COFJJGOO_00138	CDS	768	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
COFJJGOO_00139	CDS	1173				hypothetical protein
COFJJGOO_00140	CDS	1899	yjcS_1	3.1.6.-	COG2015	Putative alkyl/aryl-sulfatase YjcS
COFJJGOO_00141	CDS	468	sufU	2.-.-.-	COG0822	Zinc-dependent sulfurtransferase SufU
COFJJGOO_00142	CDS	1239	sufS_1	2.8.1.7	COG0520	Cysteine desulfurase SufS
COFJJGOO_00143	CDS	747	sufC_2		COG0396	Vegetative protein 296
COFJJGOO_00144	CDS	609		3.-.-.-		putative protein
COFJJGOO_00145	CDS	480				hypothetical protein
COFJJGOO_00146	CDS	249				hypothetical protein
COFJJGOO_00147	CDS	192				hypothetical protein
COFJJGOO_00148	CDS	798				hypothetical protein
COFJJGOO_00149	CDS	468	rnhA	3.1.26.4	COG0328	Ribonuclease H
COFJJGOO_00150	CDS	966				hypothetical protein
COFJJGOO_00151	CDS	573				hypothetical protein
COFJJGOO_00152	CDS	462				putative protein
COFJJGOO_00153	CDS	153				hypothetical protein
COFJJGOO_00154	CDS	645	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
COFJJGOO_00155	CDS	1020				hypothetical protein
COFJJGOO_00156	CDS	1104	gpgS	2.4.1.266	COG0463	Glucosyl-3-phosphoglycerate synthase
COFJJGOO_00157	CDS	216				hypothetical protein
COFJJGOO_00158	CDS	249				hypothetical protein
COFJJGOO_00159	CDS	1335	hutI_1	3.5.2.7		Imidazolonepropionase
COFJJGOO_00160	CDS	393	limA	3.3.2.8		Limonene-1,2-epoxide hydrolase
COFJJGOO_00161	CDS	336				hypothetical protein
COFJJGOO_00162	CDS	648				hypothetical protein
COFJJGOO_00163	CDS	441				hypothetical protein
COFJJGOO_00164	CDS	633	lexA	3.4.21.88	COG1974	LexA repressor
COFJJGOO_00165	CDS	1086	dapE	3.5.1.18	COG0624	Putative succinyl-diaminopimelate desuccinylase DapE
COFJJGOO_00166	CDS	882	oppD		COG0444	Oligopeptide transport ATP-binding protein OppD
COFJJGOO_00167	CDS	1083	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
COFJJGOO_00168	CDS	894		1.-.-.-		Putative coenzyme F420-dependent oxidoreductase
COFJJGOO_00169	CDS	1308	trkA		COG0569	Trk system potassium uptake protein TrkA
COFJJGOO_00170	CDS	2319	hppA1	7.2.3.-	COG3808	Putative K(+)-stimulated pyrophosphate-energized sodium pump
COFJJGOO_00171	CDS	804	todF	3.7.1.25		2-hydroxy-6-oxo-2,4-heptadienoate hydrolase
COFJJGOO_00172	CDS	1056	ddl	6.3.2.4		D-alanine--D-alanine ligase
COFJJGOO_00173	CDS	546				hypothetical protein
COFJJGOO_00174	CDS	726	cprA	3.8.1.-		3-chloro-4-hydroxyphenylacetate reductive dehalogenase
COFJJGOO_00175	CDS	1509				hypothetical protein
COFJJGOO_00176	CDS	240				hypothetical protein
COFJJGOO_00177	CDS	894				hypothetical protein
COFJJGOO_00178	CDS	261				hypothetical protein
COFJJGOO_00179	CDS	276				hypothetical protein
COFJJGOO_00180	CDS	645	nth	4.2.99.18	COG0177	Endonuclease III
COFJJGOO_00181	CDS	216				hypothetical protein
COFJJGOO_00182	CDS	1302	hisD	1.1.1.23		Histidinol dehydrogenase
COFJJGOO_00183	CDS	921	fadA_1	2.3.1.16		3-ketoacyl-CoA thiolase
COFJJGOO_00184	CDS	1428	ald	1.2.1.83		3-succinoylsemialdehyde-pyridine dehydrogenase
COFJJGOO_00185	CDS	879	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
COFJJGOO_00186	CDS	345				hypothetical protein
