locus_tag	ftype	length_bp	gene	EC_number	COG	product
CHJAGGFN_00001	CDS	699	melD_1		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
CHJAGGFN_00002	CDS	900	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
CHJAGGFN_00003	CDS	180				hypothetical protein
CHJAGGFN_00004	CDS	243				hypothetical protein
CHJAGGFN_00005	CDS	696	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
CHJAGGFN_00006	CDS	654	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
CHJAGGFN_00007	CDS	759	pstB	7.3.2.1		Phosphate import ATP-binding protein PstB
CHJAGGFN_00008	CDS	1284				hypothetical protein
CHJAGGFN_00009	CDS	1374				hypothetical protein
CHJAGGFN_00010	CDS	1017	sphX		COG0226	Protein SphX
CHJAGGFN_00011	CDS	342				hypothetical protein
CHJAGGFN_00012	CDS	105				hypothetical protein
CHJAGGFN_00013	CDS	1098	btuD	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
CHJAGGFN_00014	CDS	1101				hypothetical protein
CHJAGGFN_00015	CDS	1248				hypothetical protein
CHJAGGFN_00016	CDS	906				hypothetical protein
CHJAGGFN_00017	CDS	480	C1-hpah	1.5.1.36		p-hydroxyphenylacetate 3-hydroxylase, reductase component
CHJAGGFN_00018	CDS	924	ahcY	3.3.1.1		Adenosylhomocysteinase
CHJAGGFN_00019	CDS	495	lgt	2.5.1.145		Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
CHJAGGFN_00020	CDS	135				hypothetical protein
CHJAGGFN_00021	CDS	189				hypothetical protein
CHJAGGFN_00022	CDS	204				hypothetical protein
CHJAGGFN_00023	CDS	822				hypothetical protein
CHJAGGFN_00024	CDS	459				hypothetical protein
CHJAGGFN_00025	CDS	642	pdxH	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
CHJAGGFN_00026	CDS	231				hypothetical protein
CHJAGGFN_00027	CDS	696				hypothetical protein
CHJAGGFN_00028	CDS	633				hypothetical protein
CHJAGGFN_00029	CDS	1761				hypothetical protein
CHJAGGFN_00030	CDS	957				hypothetical protein
